split,model,negation_type,query_accuracy,mrr,query_cases
test,random,comparative,0.5,0.75,12
test,random,explicit,0.5088757396449705,0.7544378698224852,845
test,random,implicit,0.4117647058823529,0.7058823529411765,51
test,random,other,0.48708288482238965,0.7435414424111948,1858
test,bm25,comparative,0.4166666666666667,0.7083333333333334,12
test,bm25,explicit,0.493491124260355,0.7467455621301775,845
test,bm25,implicit,0.5686274509803921,0.7843137254901961,51
test,bm25,other,0.47847147470398277,0.7392357373519914,1858
test,tfidf,comparative,0.5833333333333334,0.7916666666666666,12
test,tfidf,explicit,0.4414201183431953,0.7207100591715976,845
test,tfidf,implicit,0.49019607843137253,0.7450980392156863,51
test,tfidf,other,0.5032292787944026,0.7516146393972013,1858
test,sbert,comparative,0.5833333333333334,0.7916666666666666,12
test,sbert,explicit,0.4970414201183432,0.7485207100591716,845
test,sbert,implicit,0.47058823529411764,0.7352941176470589,51
test,sbert,other,0.5365984930032293,0.7682992465016146,1858
test,monot5_3b,comparative,0.9166666666666666,0.9583333333333334,12
test,monot5_3b,explicit,0.6437869822485207,0.8218934911242604,845
test,monot5_3b,implicit,0.803921568627451,0.9019607843137255,51
test,monot5_3b,other,0.7540365984930032,0.8770182992465017,1858
